Town,County,Latitude,Longitude,Elevation,Population
Port,Cavan,54.0422222,-7.5133333,314,2414
Pottlereagh,Cavan,54.0575,-7.0255556,377,2815
Putiaghan,Cavan,54.0827778,-7.4425,229,2415
Raheelan,Cavan,54.1208333,-7.4502778,229,2475
Rakane,Cavan,54.0436111,-7.1080556,456,2670
Raleagh,Cavan,54.0311111,-7.6263889,249,1764
Redhills,Cavan,54.1,-7.3166667,249,2733
Relagh,Cavan,53.8705556,-6.9597222,505,2724
Relaghbeg,Cavan,53.8705556,-6.9597222,505,2724
Rivory,Cavan,54.0488889,-7.4222222,236,2415
Ryefield,Cavan,53.7880556,-7.0586111,377,3382
Scarvy Bridge,Cavan,54.0508333,-7.0716667,249,2681
Searcog,Cavan,54,-6.9,501,2774
Searcóg,Cavan,54,-6.9,501,2774
Shercock,Cavan,54,-6.9,501,2774
Snakeel,Cavan,54.0283333,-7.5094444,301,2420
Sraith an Domhain,Cavan,53.9833333,-7.2333333,442,2425
Sralahan,Cavan,54.1297222,-7.6352778,738,2507
Sraloaghan,Cavan,54.0916667,-7.7322222,249,2052
Sruhanagh,Cavan,54.1888889,-7.9836111,849,1975
Stradone,Cavan,53.9833333,-7.2333333,442,2425
Stragelliff,Cavan,53.9966667,-7.2955556,505,2425
Straheglin,Cavan,54.0911111,-7.435,311,2475
Swanlinbar,Cavan,54.1947222,-7.7044444,246,2565
Teeboy,Cavan,54.1147222,-7.7291667,278,2052
Tirlahode Lower,Cavan,53.9461111,-7.1863889,501,2426
Tober,Cavan,54.2166667,-8.019444,410,1858
Toberlyan,Cavan,54.0744444,-7.6369444,242,2094
Tonyduff,Cavan,53.9572222,-7.0588889,498,2426
Treehog Cross Roads,Cavan,54.0791667,-7.2613889,255,2574
Tullycoe,Cavan,54.091667,-7.2008333,252,3086
Tullynamoyle,Cavan,54.2247222,-8.0219444,593,1858
Tullyvin,Cavan,54.0483333,-7.1447222,239,2680
Uragh,Cavan,54.1930556,-7.6972222,249,2565
Virginia,Cavan,53.8338889,-7.0755556,380,2428
Waterloo,Cavan,53.9333333,-7.1302778,561,2426
Aghaglinny North,Clare,53.1391667,-9.2188889,114,1134
Aglish,Clare,52.9844444,-9.025,259,2500
Ahnagh Cross,Clare,52.8208333,-9.4166667,275,1863
An Fhiacail,Clare,52.9247222,-8.6452778,252,2503
An Geata Ban,Clare,52.9491667,-8.3713889,183,1554
An Geata Bán,Clare,52.9491667,-8.3713889,183,1554
An Leacht,Clare,52.9366667,-9.3452778,180,2113
An Scairbh,Clare,52.8988889,-8.5091667,272,2348
An Tulach,Clare,52.8647222,-8.7605556,498,2510
Annacarriga,Clare,52.8511111,-8.5038889,616,2387
Annaghneal Bridges,Clare,52.8933333,-8.6575,200,2507
Annagore Bridge,Clare,52.7569444,-8.7761111,190,2514
Ardsollus,Clare,52.7975,-8.8888889,29,2511
Ardsollus Bridge,Clare,52.7975,-8.8888889,29,2511
Ath Leathen,Clare,52.8047222,-8.6322222,305,2511
Áth Leathen,Clare,52.8047222,-8.6322222,305,2511
Athlunkard Bridge,Clare,52.6811111,-8.6097222,42,3819
Aughaglanna Bridge,Clare,52.8277778,-9.1677778,249,2511
Aughanloge Bridge,Clare,52.6477778,-9.3158333,6,2555
Aughboy,Clare,52.7391667,-8.5402778,127,3531
Aughinish,Clare,53.165,-9.0794444,3,1500
Aughrim,Clare,53.0102778,-8.9444444,190,2555
Badyke,Clare,52.8838889,-8.6011111,213,2507
Baile Ui Bheachain,Clare,53.1180556,-9.1502778,78,1903
Baile Uí Bheacháin,Clare,53.1180556,-9.1502778,78,1903
Baile Ui Bheolain,Clare,52.9305556,-8.4258333,180,1972
Baile Uí Bheoláin,Clare,52.9305556,-8.4258333,180,1972
Ballagh,Clare,52.9611111,-9.2358333,416,2500
Balleen Bridge,Clare,52.8119444,-9.1430556,347,2511
Ballinruan,Clare,52.9530556,-8.8261111,419,2556
Balliny,Clare,53.0861111,-9.2852778,1017,1801
Ballycarick Bridge,Clare,52.7363889,-9.0608333,22,2517
Ballyconry,Clare,53.1216667,-9.1819444,255,1909
Ballyea,Clare,52.9111111,-9.2138889,242,2507
Ballyelly,Clare,53.0955556,-9.2705556,925,1801
Ballygastell,Clare,53.0333333,-9.2475,331,2497
Ballyhehan,Clare,53.1030556,-9.0880556,272,2093
Ballylaan,Clare,52.9466667,-9.4583333,226,852
Ballylaun,Clare,52.9466667,-9.4583333,226,852
Ballymacanaun,Clare,52.9427778,-9.4516667,49,852
Ballynacally,Clare,52.7191667,-9.0658333,3,2517
Ballynahown,Clare,53.0658333,-9.3283333,501,1946
Ballynew Bridge,Clare,52.8616667,-9.3536111,429,2411
Ballyteige,Clare,52.9597222,-8.9561111,137,2522
Ballyvaghan,Clare,53.1180556,-9.1502778,78,1903
Ballyvaughan,Clare,53.1180556,-9.1502778,78,1903
Ballyvorney,Clare,52.7875,-8.4827778,180,2858
Ballyvramneen,Clare,52.9188889,-9.2508333,160,2503
Bargarriff,Clare,52.955,-8.3702778,187,1554
Beaghfa,Clare,52.7730556,-9.0772222,275,2514
Bealaclugga,Clare,53.1216667,-9.0683333,226,2304
Bealaha,Clare,52.7169444,-9.5866667,3,1326
Behagh,Clare,53.1366667,-9.0644444,216,1500
Bell Harbour,Clare,53.1216667,-9.0683333,226,2304
Bellia,Clare,52.6225,-9.7311111,134,1592
Bellina,Clare,52.6225,-9.7311111,134,1592
Bishopsquarter,Clare,53.1258333,-9.1194444,311,1170
Blackweir Bridge,Clare,52.6669444,-9.5883333,3,2172
Bodyke,Clare,52.8838889,-8.6011111,213,2507
Bohaten,Clare,52.9580556,-8.4805556,633,2208
Boirinn,Clare,53.1466667,-9.0755556,104,1500
Boston,Clare,53.0325,-8.9283333,183,2555
Brickhill Bridge,Clare,52.7066667,-8.7727778,167,3581
Bridge of Ross,Clare,52.5858333,-9.8666667,3,601
Broadford,Clare,52.8047222,-8.6322222,305,2511
Bunratty,Clare,52.6966667,-8.8155556,3,3627
Bunratty East,Clare,52.7,-8.8166667,3,3627
Bunratty West,Clare,52.6833333,-8.8166667,0,3627
Burren,Clare,53.1466667,-9.0755556,104,1500
Caher,Clare,52.9647222,-8.6452778,232,2512
Caher Lower,Clare,53.1247222,-9.2486111,616,2069
Caherbannagh,Clare,53.1169444,-9.2355556,577,2069
Caherconnell,Clare,53.0411111,-9.1475,452,2497
Caherlean,Clare,52.7383333,-9.5694444,3,1662
Caherloughlin,Clare,53.1341667,-9.1080556,242,1170
Cahermacnaghten,Clare,53.0494444,-9.1933333,524,2481
Cahersherkin,Clare,52.9466667,-9.2294444,351,2503
Callaghans Bridge,Clare,52.7491667,-8.6427778,285,2858
Callaghans Bridge,Clare,52.7491667,-8.6427778,285,2858
Cappagh,Clare,52.6333333,-9.5,0,2509
Cappanavarnoge,Clare,52.6572222,-9.1544444,246,3371
Capparoe,Clare,52.9172222,-8.5805556,219,2503
Carhameere,Clare,52.7519444,-9.0641667,144,2514
Carraig an Chabhaltaigh,Clare,52.6033333,-9.7080556,0,1955
Carran,Clare,53.0380556,-9.0780556,495,2497
Carranahingan Bridge,Clare,52.8763889,-9.0102778,82,2507
Carrigaholt,Clare,52.6033333,-9.7080556,0,1955
Carrowauff,Clare,52.9858333,-9.3516667,328,2206
Castletown,Clare,53.0280556,-9.0686111,498,2497
Cill an Disirt,Clare,52.6716667,-9.1063889,3,2794
Cill an Dísirt,Clare,52.6716667,-9.1063889,3,2794
Cill Bheathach,Clare,52.55,-9.8672222,0,662
Cill Chaoi,Clare,52.6791667,-9.6441667,36,1562
Cill Chisin,Clare,52.8066667,-8.7458333,206,2511
Cill Chisín,Clare,52.8066667,-8.7458333,206,2511
Cill Dalua,Clare,52.8066667,-8.4436111,180,2359
Cill Fhionnurach,Clare,52.9938889,-9.2136111,242,2500
Cill Fhionnúrach,Clare,52.9938889,-9.2136111,242,2500
Cill Inine Baoith,Clare,52.9719444,-9.0813889,187,2500
Cill Iníne Baoith,Clare,52.9719444,-9.0813889,187,2500
Cill Mhichil,Clare,52.7213889,-9.3186111,246,2517
Cill Mhichíl,Clare,52.7213889,-9.3186111,246,2517
Cill Mhicil,Clare,52.7213889,-9.3186111,246,2517
Cill Mhicíl,Clare,52.7213889,-9.3186111,246,2517
Cill Mhuire,Clare,52.7761111,-8.7827778,154,2514
Cill Rois,Clare,52.6397222,-9.4833333,3,2509
Clare,Clare,52.8155556,-8.9666667,19,2511
Clarecastle,Clare,52.8155556,-8.9666667,19,2511
Clareen Bridge,Clare,52.7744444,-9.0166667,78,2514
Clareville,Clare,53.1166667,-9.1333333,183,1903
Claureen Bridge,Clare,52.85,-8.9983333,88,2510
Cleedagh Bridge,Clare,52.8588889,-9.4277778,101,1261
Cloghannmore,Clare,52.8527778,-9.3372222,433,2411
Cloghanulk,Clare,53.0886111,-9.3255556,147,1207
Cloghaun Bridge,Clare,52.8947222,-8.6305556,206,2507
Clonrush,Clare,52.9363889,-8.3541667,180,1554
Cloomagro,Clare,52.9558333,-8.6855556,590,2503
Clooncoorha,Clare,52.6813889,-9.4816667,3,2492
Clooncorha,Clare,52.6813889,-9.4816667,3,2492
Clooncullin Bridge,Clare,52.6991667,-9.3872222,75,2520
Cloongaheen East,Clare,52.8086111,-8.5880556,249,2511
Cloonlara,Clare,52.7222222,-8.5538889,121,2963
Cloonmore,Clare,52.76,-9.0861111,249,2514
Cloonusker,Clare,52.9413889,-8.5716667,328,2503
Cloony Smith,Clare,52.9377778,-9.2036111,252,2503
Cluain Lara,Clare,52.7222222,-8.5538889,121,2963
Cluain Lára,Clare,52.7222222,-8.5538889,121,2963
Connolly,Clare,52.8294444,-9.1930556,305,2511
Coolbaun,Clare,52.9886111,-8.9163889,157,2591
Coolcoosaun,Clare,52.9244444,-8.5344444,219,2442
Coolmeen,Clare,52.65,-9.2205556,114,2915
Coolnacreehaun Bridge,Clare,52.7355556,-9.4927778,91,2208
Cooraclare,Clare,52.7008333,-9.4208333,49,2520
Cora Chaitlin,Clare,52.76,-8.8955556,16,2514
Cora Chaitlín,Clare,52.76,-8.8955556,16,2514
Cora Finne,Clare,52.9477778,-9.0630556,173,2503
Corlea Bridge,Clare,53.0155556,-8.5888889,446,2626
Corofin,Clare,52.9477778,-9.0630556,173,2503
Corrofin,Clare,52.9477778,-9.0630556,173,2503
Cratloe,Clare,52.695,-8.7597222,59,3581
Creegh,Clare,52.7455556,-9.4280556,295,2480
Cregg,Clare,53.1347222,-9.2058333,488,939
Croisin,Clare,52.9394444,-8.8933333,206,2526
Croisín,Clare,52.9394444,-8.8933333,206,2526
Croony Bridge,Clare,52.6897222,-9.2316667,187,2520
Cross,Clare,52.5980556,-9.7716667,85,1259
Crows Bridge,Clare,52.8475,-9.1936111,249,2510
Crows Bridge,Clare,52.8475,-9.1936111,249,2510
Crusheen,Clare,52.9394444,-8.8933333,206,2526
Cuar an Chlair,Clare,52.7008333,-9.4208333,49,2520
Cuar an Chláir,Clare,52.7008333,-9.4208333,49,2520
Cuinche,Clare,52.8186111,-8.8669444,59,2511
Cullenagh,Clare,52.9288889,-9.2611111,150,2503
Deerpark,Clare,53.02778,-9.1261111,436,2497
Derreen,Clare,53.0886111,-9.3122222,288,1207
Derren,Clare,52.9530556,-9.4222222,144,852
Derroran Bridge,Clare,52.9611111,-8.4247222,252,2532
Derrycalliff Lower,Clare,52.9313889,-8.8538889,252,2551
Derrycon,Clare,52.9491667,-8.4491667,367,1972
Derrycrossaun Bridge,Clare,52.6988889,-9.3447222,88,2520
Derryfadda,Clare,53.0172222,-8.6883333,236,2662
Derryheena,Clare,52.9275,-8.8369444,479,2551
Derrymore,Clare,52.9094444,-8.5733333,196,2503
Derrymore Bridge,Clare,52.8827778,-9.2472222,246,2507
Derryvough,Clare,52.9358333,-8.8361111,436,2551
DEsterres Bridge,Clare,52.7141667,-8.7808333,95,2654
DEsterres Bridge,Clare,52.7141667,-8.7808333,95,2654
Dooglaun,Clare,52.9761111,-8.6886111,616,2534
Doolin,Clare,53.0225,-9.3933333,88,1245
Doonaha,Clare,52.6225,-9.6444444,0,2333
Doonbeg,Clare,52.7319444,-9.5227778,3,1885
Doonyvardan,Clare,53.0630556,-9.1916667,538,2481
Doorus,Clare,52.9827778,-8.6811111,354,2534
Drehidnagower Bridge,Clare,52.8558333,-8.9938889,55,2510
Drehidnaraga Bridge,Clare,52.8061111,-9.3813889,213,2408
Drinagh,Clare,52.9280556,-9.2016667,262,2503
Droichead Abhann O gCearnaigh,Clare,52.7413889,-8.7741667,141,2654
Droíchead Abhann Ó gCearnaigh,Clare,52.7413889,-8.7741667,141,2654
Droichead an Chlair,Clare,52.8155556,-8.9666667,19,2511
Droíchead an Chláir,Clare,52.8155556,-8.9666667,19,2511
Droichead Ui Bhriain,Clare,52.7547222,-8.4969444,150,2858
Droichead Uí Bhriain,Clare,52.7547222,-8.4969444,150,2858
Drumadrohid,Clare,52.8016667,-9.0575,259,2511
Drumandoora,Clare,52.9961111,-8.7330556,449,2589
Drumellihy,Clare,52.7180556,-9.4519444,164,2480
Drumsillagh,Clare,52.7675,-8.6244444,377,2514
Dysert,Clare,52.875,-9.1816667,226,2510
Effernan,Clare,52.6444444,-9.1830556,98,3097
Elliss Bridge,Clare,52.7694444,-8.5230556,226,2717
Ennis,Clare,52.8436111,-8.9863889,49,2510
Ennistimon,Clare,52.9447222,-9.2922222,141,2373
Ennistymon,Clare,52.9447222,-9.2922222,141,2373
Fahanlunaghta Bridge,Clare,52.8808333,-9.2891667,314,2507
Fahee,Clare,53.0363889,-9.0444444,508,2497
Fair Green,Clare,52.8713889,-8.9086111,347,2510
Fanore,Clare,53.1180556,-9.2902778,170,1801
Fanore Bridge,Clare,53.1180556,-9.2902778,170,1801
Farmoyle,Clare,52.8563889,-9.1997222,249,2510
Farrihy,Clare,52.7044444,-9.6033333,3,2172
Feakle,Clare,52.9247222,-8.6452778,252,2503
Feakle Lower,Clare,52.9155556,-8.6336111,249,2507
Feenagh,Clare,53.1113889,-9.2063889,633,1909
Finavarra,Clare,53.1513889,-9.1005556,45,1170
Fisherstreet,Clare,53.0172222,-9.3861111,164,1245
Flagmount,Clare,52.9858333,-8.6438889,354,2512
Fodry,Clare,52.575,-9.8911111,3,400
Fountain Cross,Clare,52.8722222,-9.0291667,170,2510
Furmina,Clare,53.05,-9.5166667,0,0
Furnace,Clare,52.9422222,-8.3883333,183,1835
Garrauncam Bridge,Clare,52.8997222,-8.6966667,183,2507
Gilloge Bridge,Clare,52.6858333,-8.5744444,88,4026
Glen Bridge,Clare,52.8211111,-9.2308333,511,2511
Glenbonniv,Clare,52.9444444,-8.6577778,534,2503
Glendree,Clare,52.9202778,-8.7233333,383,2512
